county,prop2_yes,prop2_no,prop3_yes,prop3_no,prop4_yes,prop4_no,prop5_yes,prop5_no,prop6_yes,prop6_no,prop32_yes,prop32_no,prop33_yes,prop33_no,prop34_yes,prop34_no,prop35_yes,prop35_no,prop36_yes,prop36_no,prop2_total,prop2_yes_pct,prop2_outcome,prop3_total,prop3_yes_pct,prop3_outcome,prop4_total,prop4_yes_pct,prop4_outcome,prop5_total,prop5_yes_pct,prop5_outcome,prop6_total,prop6_yes_pct,prop6_outcome,prop32_total,prop32_yes_pct,prop32_outcome,prop33_total,prop33_yes_pct,prop33_outcome,prop34_total,prop34_yes_pct,prop34_outcome,prop35_total,prop35_yes_pct,prop35_outcome,prop36_total,prop36_yes_pct,prop36_outcome,num_yes_props,prop2_matches_state,prop3_matches_state,prop4_matches_state,prop5_matches_state,prop6_matches_state,prop32_matches_state,prop33_matches_state,prop34_matches_state,prop35_matches_state,prop36_matches_state,match_state_count
Plumas,4229,5585,4870,4968,4389,5481,2908,6788,3127,6419,3242,6517,2565,7022,4079,5263,5807,3845,6958,2773,9814,0.4309150193600978,No,9838,0.4950193128684692,No,9870,0.44468085106382976,No,9696,0.2999174917491749,No,9546,0.32757175780431597,No,9759,0.3322061686648222,No,9587,0.2675498070303536,No,9342,0.4366302718903875,No,9652,0.6016369664318276,Yes,9731,0.7150344260610421,Yes,2,0,0,0,1,1,1,1,0,1,1,6
Riverside,487109,403031,488115,418428,492029,413340,361087,536794,347454,542863,410507,498318,355210,545386,501520,379962,591690,301706,657958,242098,890140,0.5472274024310783,Yes,906543,0.5384355733815164,Yes,905369,0.5434568667581947,Yes,897881,0.40215462850867767,No,890317,0.3902587505349218,No,908825,0.4516898192721371,No,900596,0.3944165863494841,No,881482,0.5689509258271865,Yes,893396,0.6622930928725895,Yes,900056,0.7310189588203401,Yes,6,1,1,1,1,1,1,1,1,1,1,10
Sacramento,379730,247421,393738,234223,375420,252543,288002,335627,276854,347262,310206,325997,252092,372068,329018,279788,449563,177094,426960,196977,627151,0.6054841656953429,Yes,627961,0.6270102761158735,Yes,627963,0.5978377706966812,Yes,623629,0.4618162401042928,No,624116,0.4435938190977318,No,636203,0.48758965298811857,No,624160,0.403890028197898,No,608806,0.5404315989001423,Yes,626657,0.7173988322160288,Yes,623937,0.6842998571971208,Yes,6,1,1,1,1,1,1,1,1,1,1,10
San Benito,13856,13002,15863,10987,15030,11853,10638,16088,10276,16272,13938,13219,10889,15737,13985,12118,18099,8528,18862,8043,26858,0.5158984287735497,Yes,26850,0.5908007448789572,Yes,26883,0.5590893873451623,Yes,26726,0.3980393624186186,No,26548,0.3870724725026367,No,27157,0.5132378392311374,Yes,26626,0.40896116577781116,No,26103,0.5357621729303145,Yes,26627,0.6797235888383971,Yes,26905,0.7010592826612154,Yes,7,1,1,1,1,1,0,1,1,1,1,9
San Bernardino,382663,309179,368109,365924,391779,342089,297555,433680,280975,428374,315455,396600,280745,436620,392105,312291,482320,243904,533475,196288,691842,0.5531075014237354,Yes,734033,0.5014883527034888,Yes,733868,0.5338548621822998,Yes,731235,0.4069211676136946,No,709349,0.3961026236732553,No,712055,0.4430205531876049,No,717365,0.39135586486656027,No,704396,0.5566542115514569,Yes,726224,0.6641477009848201,Yes,729763,0.7310250040081506,Yes,6,1,1,1,1,1,1,1,1,1,1,10
San Diego,783150,624625,929477,488011,811585,605458,594029,806241,627728,756244,661731,761603,557730,835944,736187,602270,908009,472535,912939,485821,1407775,0.5563033865496972,Yes,1417488,0.6557212477283758,Yes,1417043,0.5727313850038425,Yes,1400270,0.4242246138244767,No,1383972,0.45356986991066295,No,1423334,0.4649161756832901,No,1393674,0.4001868442691763,No,1338457,0.5500266351477858,Yes,1380544,0.657718261786658,Yes,1398760,0.6526773713860848,Yes,6,1,1,1,1,1,1,1,1,1,1,10
San Francisco,290905,91500,327877,59058,307522,76512,236111,142165,250157,123922,271306,110945,161551,217308,172688,191865,290384,80795,241916,136902,382405,0.7607248859193787,Yes,386935,0.847369713259333,Yes,384034,0.800767640365176,Yes,378276,0.6241765271917858,Yes,374079,0.6687277286348605,Yes,382251,0.7097587710692712,Yes,378859,0.4264145763991353,No,364553,0.4736979259531536,No,371179,0.7823287416583373,Yes,378818,0.638607457934945,Yes,8,1,1,1,0,0,0,1,0,1,1,6
San Joaquin,142288,109106,130128,120858,140419,110857,99359,149903,99537,146856,111555,141524,98164,150520,127443,114836,172882,76233,190189,61527,251394,0.5659960062690438,Yes,250986,0.5184671654992709,Yes,251276,0.5588237635110397,Yes,249262,0.39861270470428706,No,246393,0.40397657400981357,No,253079,0.4407912153912415,No,248684,0.39473387913979185,No,242279,0.5260175252498153,Yes,249115,0.69398470585874,Yes,251716,0.7555697691048642,Yes,6,1,1,1,1,1,1,1,1,1,1,10
San Luis Obispo,75017,69977,87056,58764,76170,69655,56497,87050,57397,84131,57853,87207,47436,94919,74925,61958,89255,53206,94611,48651,144994,0.5173800295184628,Yes,145820,0.5970100123439858,Yes,145825,0.5223384193382479,Yes,143547,0.3935784098587919,No,141528,0.4055522582103895,No,145060,0.39882117744381634,No,142355,0.3332232798285975,No,136883,0.5473652681487109,Yes,142461,0.6265223464667523,Yes,143262,0.6604054110650417,Yes,6,1,1,1,1,1,1,1,1,1,1,10
San Mateo,199676,113037,236724,77562,215636,99515,144100,165456,166344,139111,179270,134407,117780,191353,130330,166052,223277,84677,211157,101540,312713,0.6385279793292892,Yes,314286,0.7532120425345068,Yes,315151,0.6842307338386996,Yes,309556,0.4655054335887529,No,305455,0.5445777610449984,Yes,313677,0.5715114592399188,Yes,309133,0.3810010577971294,No,296382,0.43973655620111884,No,307954,0.7250336089156173,Yes,312697,0.6752767055648119,Yes,7,1,1,1,1,0,0,1,0,1,1,7
