county_name,county_fips,year,dem_share,rep_share,margin,winner
San Francisco,6075,2008,0.8416021312995442,0.13658077912580152,-0.7050213521737427,Democrat
San Joaquin,6077,2008,0.5444210385528472,0.4375803084800978,-0.10684073007274936,Democrat
San Luis Obispo,6079,2008,0.5139423910503343,0.4602609816589146,-0.05368140939141974,Democrat
San Mateo,6081,2008,0.734691320575551,0.2474743811244609,-0.48721693945109007,Democrat
Santa Barbara,6083,2008,0.6038122027076472,0.3749599798755946,-0.22885222283205264,Democrat
Santa Clara,6085,2008,0.6944841336019676,0.2855200431497516,-0.408964090452216,Democrat
Santa Cruz,6087,2008,0.7745738647505942,0.1980185593373234,-0.5765553054132708,Democrat
Shasta,6089,2008,0.35908695111332256,0.6168428909068292,0.25775593979350664,Republican
Sierra,6091,2008,0.37317930688096435,0.5816172777498745,0.20843797086891014,Republican
Siskiyou,6093,2008,0.4327899394503959,0.5365626455519329,0.103772706101537,Republican
Solano,6095,2008,0.634236797475353,0.3481018555906891,-0.2861349418846639,Democrat
Sonoma,6097,2008,0.7363735061107212,0.24036084429542492,-0.49601266181529624,Democrat
Stanislaus,6099,2008,0.49858087755799146,0.4813029841940192,-0.017277893363972285,Democrat
Sutter,6101,2008,0.40715218117239915,0.5740870040375217,0.1669348228651225,Republican
Tehama,6103,2008,0.3660582746767065,0.6074234735635947,0.24136519888688823,Republican
Trinity,6105,2008,0.5072168183244431,0.4612488233448384,-0.04596799497960469,Democrat
Tulare,6107,2008,0.41474820827709447,0.5680759652491303,0.15332775697203582,Republican
Tuolumne,6109,2008,0.4242669511791325,0.5514145910746477,0.12714763989551525,Republican
Ventura,6111,2008,0.5520924072984108,0.4292319011183049,-0.12286050618010591,Democrat
Yolo,6113,2008,0.6707043348505938,0.30836750304079047,-0.3623368318098033,Democrat
Yuba,6115,2008,0.4142797065557684,0.5610485491332181,0.1467688425774497,Republican
Alameda,6001,2012,0.7885340523334486,0.1816225182240339,-0.6069115341094147,Democrat
Alpine,6003,2012,0.5957120980091883,0.3614088820826952,-0.2343032159264931,Democrat
Amador,6005,2012,0.3869907643492549,0.5825259221485637,0.1955351577993088,Republican
Butte,6007,2012,0.4701714562764457,0.4901159203102962,0.01994446403385053,Republican
Calaveras,6009,2012,0.3979619939410631,0.5675663269989901,0.16960433305792705,Republican
Colusa,6011,2012,0.3834935366257872,0.5967848856479947,0.21329134902220748,Republican
Contra Costa,6013,2012,0.6636393093974342,0.31152190878679037,-0.35211740061064384,Democrat
